Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Sierra Leone,SLE,1990,7.703276662,3408.406924,0.151759172,1.047106735,,2017,9.881137938,3548.066317,7488427,
Singapore,SGP,1990,14.58948898,3605.376409,-0.521994604,-1.843633492,,2017,7.32711794,3097.239911,5708042,
Sint Maarten (Dutch part),SXM,1990,,,#DIV/0!,#DIV/0!,,2017,,,41444,
Slovakia,SVK,1990,15.45542742,2413.462303,-0.233536783,-1.433172143,,2017,9.474849651,2261.281603,5447903,
Slovenia,SVN,1990,27.68452724,3188.47196,-0.597768621,-1.780084887,,2017,14.37870893,2673.860469,2076395,
Solomon Islands,SLB,1990,22.25951583,3099.523537,0.004953277,-0.975316207,,2017,16.39779786,3103.668793,636030,
Somalia,SOM,1990,10.78108767,3727.318879,-0.014443852,-0.288594935,,2017,9.941018501,3712.782932,14589165,
South Africa,ZAF,1990,18.55689681,3680.137914,-0.066985181,-1.478257913,,2017,11.15028933,3613.578944,57009751,
South America,,1990,,,#DIV/0!,#DIV/0!,,2017,,,419903920,
South Asia,,1990,17.69879971,3722.344077,-0.227470075,-0.882923983,,2017,13.47959213,3493.729168,,
South Korea,KOR,1990,10.96757317,2661.795126,0.355713573,3.32228097,,2017,20.80566027,2917.441023,51096408,
South Sudan,SSD,1990,12.77931789,3592.812411,0.04757168,-0.224794218,,2017,12.00368436,3638.959764,10910774,
